Vardas               Pavarde             ND1                 ND2                 ND3                 ND4                 ND5                 ND6                 Egzaminas            
Vardas27             Pavarde27           2                   1                   3                   10                  7                   9                   8                    

Vardas28             Pavarde28           7                   2                   8                   9                   6                   1                   8                    

Vardas29             Pavarde29           1                   8                   5                   3                   4                   8                   5                    

Vardas30             Pavarde30           5                   5                   1                   4                   4                   7                   5                    

Vardas31             Pavarde31           8                   6                   4                   5                   4                   2                   10                   

Vardas32             Pavarde32           2                   1                   10                  2                   7                   9                   6                    

Vardas33             Pavarde33           5                   6                   4                   1                   8                   7                   10                   

Vardas34             Pavarde34           6                   5                   7                   5                   7                   1                   8                    

Vardas35             Pavarde35           6                   2                   7                   3                   3                   4                   10                   

Vardas36             Pavarde36           7                   5                   4                   3                   10                  9                   9                    

Vardas37             Pavarde37           7                   5                   2                   7                   10                  9                   1                    

Vardas38             Pavarde38           9                   8                   3                   7                   1                   6                   2                    

Vardas39             Pavarde39           1                   7                   10                  7                   1                   2                   6                    

Vardas40             Pavarde40           9                   4                   9                   5                   5                   7                   8                    

Vardas41             Pavarde41           2                   10                  9                   9                   9                   1                   9                    

Vardas42             Pavarde42           1                   6                   9                   8                   3                   8                   8                    

Vardas43             Pavarde43           4                   4                   7                   3                   8                   8                   6                    

Vardas44             Pavarde44           9                   4                   6                   9                   7                   4                   8                    

Vardas45             Pavarde45           1                   3                   3                   5                   3                   3                   8                    

Vardas46             Pavarde46           8                   5                   8                   2                   5                   3                   1                    

Vardas47             Pavarde47           2                   2                   10                  9                   5                   9                   6                    

Vardas48             Pavarde48           10                  3                   3                   7                   9                   2                   3                    

Vardas49             Pavarde49           7                   3                   1                   3                   8                   1                   10                   

Vardas50             Pavarde50           3                   6                   3                   10                  5                   10                  6                    

Vardas51             Pavarde51           9                   9                   1                   4                   6                   6                   8                    

Vardas52             Pavarde52           2                   7                   1                   2                   5                   3                   2                    

Vardas53             Pavarde53           1                   10                  8                   5                   1                   5                   2                    

Vardas54             Pavarde54           3                   8                   10                  7                   2                   1                   9                    

Vardas55             Pavarde55           7                   8                   9                   1                   10                  10                  1                    

Vardas56             Pavarde56           4                   3                   4                   3                   7                   6                   6                    

Vardas57             Pavarde57           7                   10                  1                   4                   9                   9                   3                    

Vardas58             Pavarde58           6                   5                   6                   4                   5                   5                   7                    

Vardas59             Pavarde59           2                   1                   7                   5                   5                   9                   6                    

Vardas60             Pavarde60           9                   2                   2                   6                   4                   1                   8                    

Vardas61             Pavarde61           8                   5                   2                   5                   10                  6                   7                    

Vardas62             Pavarde62           8                   9                   4                   4                   3                   7                   1                    

Vardas63             Pavarde63           3                   4                   7                   5                   5                   5                   2                    

Vardas64             Pavarde64           2                   7                   9                   2                   7                   1                   8                    

Vardas65             Pavarde65           9                   10                  9                   5                   8                   5                   9                    

Vardas66             Pavarde66           1                   5                   10                  6                   10                  1                   5                    

Vardas67             Pavarde67           2                   4                   2                   3                   3                   6                   7                    

Vardas68             Pavarde68           9                   5                   1                   9                   7                   6                   7                    

Vardas69             Pavarde69           8                   4                   3                   3                   6                   9                   10                   

Vardas70             Pavarde70           10                  6                   9                   5                   2                   2                   2                    

Vardas71             Pavarde71           9                   7                   10                  6                   4                   8                   10                   

Vardas72             Pavarde72           4                   8                   10                  5                   6                   1                   10                   

Vardas73             Pavarde73           5                   8                   7                   2                   10                  2                   4                    

Vardas74             Pavarde74           2                   8                   3                   5                   2                   5                   3                    

Vardas75             Pavarde75           8                   3                   8                   2                   4                   5                   10                   

Vardas76             Pavarde76           9                   1                   4                   3                   9                   8                   4                    

Vardas77             Pavarde77           6                   3                   8                   1                   9                   10                  6                    

Vardas78             Pavarde78           8                   3                   4                   3                   1                   9                   8                    

Vardas79             Pavarde79           10                  7                   2                   3                   3                   7                   6                    

Vardas80             Pavarde80           5                   3                   4                   2                   6                   1                   7                    

Vardas81             Pavarde81           8                   3                   9                   1                   4                   10                  6                    

Vardas82             Pavarde82           5                   6                   5                   4                   6                   7                   1                    

Vardas83             Pavarde83           1                   4                   9                   3                   7                   2                   9                    

Vardas84             Pavarde84           4                   3                   1                   6                   1                   9                   2                    

Vardas85             Pavarde85           1                   5                   9                   3                   10                  10                  1                    

Vardas86             Pavarde86           10                  5                   2                   7                   10                  3                   6                    

Vardas87             Pavarde87           2                   8                   10                  8                   1                   6                   4                    

Vardas88             Pavarde88           9                   5                   9                   10                  9                   8                   4                    

Vardas89             Pavarde89           1                   9                   6                   4                   1                   4                   4                    

Vardas90             Pavarde90           1                   6                   1                   6                   8                   1                   1                    

Vardas91             Pavarde91           10                  8                   7                   7                   10                  3                   3                    

Vardas92             Pavarde92           6                   2                   8                   1                   3                   8                   2                    

Vardas93             Pavarde93           10                  10                  4                   1                   2                   8                   10                   

Vardas94             Pavarde94           7                   6                   4                   9                   9                   2                   2                    

Vardas95             Pavarde95           2                   9                   3                   3                   6                   3                   10                   

Vardas96             Pavarde96           7                   3                   3                   10                  6                   2                   5                    

Vardas97             Pavarde97           8                   8                   3                   9                   6                   3                   2                    

Vardas98             Pavarde98           6                   8                   6                   7                   3                   2                   3                    

Vardas99             Pavarde99           2                   3                   9                   1                   2                   2                   4                    

Vardas100            Pavarde100          3                   6                   9                   8                   6                   2                   3                    

Vardas101            Pavarde101          8                   1                   2                   6                   6                   5                   10                   

Vardas102            Pavarde102          8                   1                   1                   3                   10                  1                   6                    

Vardas103            Pavarde103          1                   8                   6                   3                   2                   8                   5                    

Vardas104            Pavarde104          10                  5                   10                  4                   1                   2                   5                    

Vardas105            Pavarde105          3                   4                   1                   1                   1                   9                   9                    

Vardas106            Pavarde106          8                   4                   1                   8                   8                   4                   5                    

Vardas107            Pavarde107          2                   8                   8                   3                   2                   9                   3                    

Vardas108            Pavarde108          9                   4                   6                   5                   5                   9                   9                    

Vardas109            Pavarde109          7                   3                   2                   6                   4                   6                   6                    

Vardas110            Pavarde110          7                   10                  3                   9                   2                   7                   4                    

Vardas111            Pavarde111          4                   5                   6                   4                   4                   1                   8                    

Vardas112            Pavarde112          7                   2                   2                   10                  3                   2                   4                    

Vardas113            Pavarde113          1                   6                   7                   6                   10                  1                   1                    

Vardas114            Pavarde114          2                   9                   2                   4                   9                   9                   6                    

Vardas115            Pavarde115          8                   6                   4                   10                  2                   9                   6                    

Vardas116            Pavarde116          9                   10                  1                   2                   8                   1                   1                    

Vardas117            Pavarde117          1                   1                   7                   1                   4                   2                   7                    

Vardas118            Pavarde118          5                   6                   3                   2                   7                   3                   2                    

Vardas119            Pavarde119          6                   4                   1                   6                   3                   3                   9                    

Vardas120            Pavarde120          7                   9                   1                   2                   4                   9                   2                    

Vardas121            Pavarde121          6                   7                   5                   3                   10                  1                   2                    

Vardas122            Pavarde122          9                   6                   4                   6                   8                   9                   4                    

Vardas123            Pavarde123          10                  1                   8                   5                   6                   4                   4                    

Vardas124            Pavarde124          7                   1                   6                   6                   9                   2                   5                    

Vardas125            Pavarde125          2                   7                   10                  10                  3                   5                   10                   

Vardas126            Pavarde126          10                  9                   10                  7                   3                   1                   7                    

Vardas127            Pavarde127          9                   7                   1                   6                   4                   6                   7                    

Vardas128            Pavarde128          8                   3                   7                   8                   5                   9                   9                    

Vardas129            Pavarde129          7                   9                   8                   2                   9                   7                   8                    

Vardas130            Pavarde130          9                   4                   6                   5                   5                   5                   10                   

Vardas131            Pavarde131          3                   8                   8                   4                   4                   8                   9                    

Vardas132            Pavarde132          4                   6                   10                  5                   7                   9                   4                    

Vardas133            Pavarde133          4                   3                   3                   8                   7                   1                   4                    

Vardas134            Pavarde134          10                  2                   6                   4                   5                   10                  10                   

Vardas135            Pavarde135          3                   5                   1                   10                  1                   7                   6                    

Vardas136            Pavarde136          6                   9                   5                   2                   2                   1                   3                    

Vardas137            Pavarde137          4                   8                   7                   3                   9                   4                   6                    

Vardas138            Pavarde138          2                   4                   7                   9                   4                   7                   4                    

Vardas139            Pavarde139          7                   3                   10                  10                  8                   10                  1                    

Vardas140            Pavarde140          1                   10                  6                   6                   2                   9                   9                    

Vardas141            Pavarde141          5                   8                   7                   5                   10                  1                   7                    

Vardas142            Pavarde142          5                   10                  2                   6                   6                   4                   2                    

Vardas143            Pavarde143          2                   5                   1                   8                   1                   2                   10                   

Vardas144            Pavarde144          7                   5                   3                   4                   2                   3                   3                    

Vardas145            Pavarde145          9                   1                   7                   8                   6                   8                   8                    

Vardas146            Pavarde146          6                   1                   4                   4                   6                   8                   3                    

Vardas147            Pavarde147          4                   9                   4                   3                   6                   9                   10                   

Vardas148            Pavarde148          5                   5                   9                   1                   7                   10                  8                    

Vardas149            Pavarde149          4                   5                   2                   9                   9                   4                   6                    

Vardas150            Pavarde150          9                   5                   9                   1                   7                   5                   7                    

Vardas151            Pavarde151          5                   8                   4                   6                   5                   8                   4                    

Vardas152            Pavarde152          6                   9                   2                   6                   4                   4                   4                    

Vardas153            Pavarde153          6                   9                   7                   9                   9                   10                  2                    

Vardas154            Pavarde154          6                   3                   6                   7                   4                   7                   5                    

Vardas155            Pavarde155          4                   5                   2                   10                  5                   3                   1                    

Vardas156            Pavarde156          8                   5                   6                   3                   3                   5                   8                    

Vardas157            Pavarde157          6                   1                   4                   5                   1                   3                   3                    

Vardas158            Pavarde158          7                   3                   3                   8                   6                   6                   9                    

Vardas159            Pavarde159          6                   9                   9                   1                   1                   9                   3                    

Vardas160            Pavarde160          4                   10                  6                   10                  1                   3                   9                    

Vardas161            Pavarde161          4                   2                   6                   7                   5                   5                   10                   

Vardas162            Pavarde162          3                   2                   3                   4                   5                   3                   8                    

Vardas163            Pavarde163          3                   10                  3                   9                   8                   3                   3                    

Vardas164            Pavarde164          7                   8                   3                   2                   7                   6                   3                    

Vardas165            Pavarde165          1                   8                   6                   10                  10                  5                   4                    

Vardas166            Pavarde166          2                   7                   2                   1                   1                   9                   4                    

Vardas167            Pavarde167          7                   7                   8                   7                   7                   5                   1                    

Vardas168            Pavarde168          1                   4                   1                   4                   1                   6                   7                    

Vardas169            Pavarde169          4                   4                   5                   8                   9                   8                   2                    

Vardas170            Pavarde170          4                   7                   4                   5                   8                   5                   2                    

Vardas171            Pavarde171          3                   1                   8                   7                   4                   10                  10                   

Vardas172            Pavarde172          2                   5                   5                   1                   1                   2                   10                   

Vardas173            Pavarde173          5                   6                   7                   9                   9                   7                   8                    

Vardas174            Pavarde174          4                   7                   4                   3                   1                   2                   4                    

Vardas175            Pavarde175          10                  4                   2                   9                   1                   9                   9                    

Vardas176            Pavarde176          3                   3                   8                   8                   7                   7                   3                    

Vardas177            Pavarde177          9                   10                  8                   8                   6                   3                   10                   

Vardas178            Pavarde178          2                   8                   7                   10                  8                   5                   9                    

Vardas179            Pavarde179          5                   5                   4                   3                   9                   7                   2                    

Vardas180            Pavarde180          2                   4                   2                   1                   3                   1                   2                    

Vardas181            Pavarde181          4                   10                  2                   3                   10                  5                   6                    

Vardas182            Pavarde182          7                   6                   6                   6                   9                   4                   9                    

Vardas183            Pavarde183          7                   6                   10                  3                   5                   1                   9                    

Vardas184            Pavarde184          8                   4                   5                   9                   1                   2                   8                    

Vardas185            Pavarde185          7                   6                   7                   4                   3                   9                   8                    

Vardas186            Pavarde186          9                   5                   7                   9                   1                   4                   8                    

Vardas187            Pavarde187          10                  9                   8                   10                  4                   3                   6                    

Vardas188            Pavarde188          9                   3                   8                   9                   1                   3                   6                    

Vardas189            Pavarde189          6                   8                   4                   10                  3                   9                   1                    

Vardas190            Pavarde190          10                  9                   2                   7                   6                   1                   8                    

Vardas191            Pavarde191          1                   3                   5                   5                   8                   2                   9                    

Vardas192            Pavarde192          5                   7                   9                   8                   9                   2                   8                    

Vardas193            Pavarde193          4                   10                  6                   2                   6                   3                   3                    

Vardas194            Pavarde194          8                   3                   9                   8                   5                   7                   10                   

Vardas195            Pavarde195          1                   6                   4                   8                   2                   8                   9                    

Vardas196            Pavarde196          10                  3                   5                   3                   1                   8                   2                    

Vardas197            Pavarde197          1                   6                   3                   4                   7                   3                   7                    

Vardas198            Pavarde198          9                   7                   5                   10                  9                   6                   3                    

Vardas199            Pavarde199          10                  7                   7                   3                   5                   9                   4                    

Vardas200            Pavarde200          2                   5                   10                  8                   5                   10                  4                    

Vardas201            Pavarde201          7                   2                   10                  6                   5                   2                   8                    

Vardas202            Pavarde202          8                   7                   4                   9                   5                   4                   2                    

Vardas203            Pavarde203          10                  9                   9                   4                   3                   6                   1                    

Vardas204            Pavarde204          7                   8                   1                   7                   9                   8                   10                   

Vardas205            Pavarde205          1                   4                   7                   2                   4                   3                   3                    

Vardas206            Pavarde206          6                   6                   5                   5                   4                   6                   3                    

Vardas207            Pavarde207          10                  3                   5                   1                   6                   3                   3                    

Vardas208            Pavarde208          7                   1                   5                   3                   4                   4                   1                    

Vardas209            Pavarde209          4                   10                  9                   6                   5                   8                   7                    

Vardas210            Pavarde210          4                   8                   7                   2                   1                   10                  4                    

Vardas211            Pavarde211          4                   5                   9                   9                   1                   8                   8                    

Vardas212            Pavarde212          5                   7                   6                   4                   6                   8                   5                    

Vardas213            Pavarde213          3                   3                   10                  10                  9                   3                   3                    

Vardas214            Pavarde214          7                   6                   9                   10                  8                   6                   6                    

Vardas215            Pavarde215          6                   8                   10                  5                   3                   9                   3                    

Vardas216            Pavarde216          7                   6                   5                   4                   6                   3                   9                    

Vardas217            Pavarde217          4                   4                   3                   10                  1                   3                   2                    

Vardas218            Pavarde218          5                   8                   2                   3                   8                   2                   8                    

Vardas219            Pavarde219          9                   1                   9                   3                   3                   2                   10                   

Vardas220            Pavarde220          9                   7                   9                   3                   9                   3                   7                    

Vardas221            Pavarde221          8                   5                   6                   3                   10                  4                   4                    

Vardas222            Pavarde222          3                   6                   1                   7                   4                   5                   1                    

Vardas223            Pavarde223          10                  8                   3                   5                   8                   6                   8                    

Vardas224            Pavarde224          5                   6                   2                   4                   2                   10                  5                    

Vardas225            Pavarde225          7                   4                   7                   2                   1                   5                   8                    

Vardas226            Pavarde226          3                   7                   10                  9                   9                   5                   7                    

Vardas227            Pavarde227          5                   9                   6                   10                  7                   9                   9                    

Vardas228            Pavarde228          9                   7                   9                   2                   7                   10                  4                    

Vardas229            Pavarde229          10                  5                   10                  8                   4                   9                   6                    

Vardas230            Pavarde230          3                   4                   6                   4                   1                   4                   8                    

Vardas231            Pavarde231          2                   3                   6                   10                  1                   1                   10                   

Vardas232            Pavarde232          7                   6                   5                   6                   2                   6                   8                    

Vardas233            Pavarde233          7                   8                   1                   4                   6                   5                   3                    

Vardas234            Pavarde234          2                   1                   2                   5                   6                   2                   3                    

Vardas235            Pavarde235          5                   1                   7                   7                   5                   2                   8                    

Vardas236            Pavarde236          4                   4                   3                   7                   9                   4                   3                    

Vardas237            Pavarde237          10                  6                   3                   3                   4                   8                   6                    

Vardas238            Pavarde238          7                   5                   10                  5                   10                  5                   10                   

Vardas239            Pavarde239          3                   5                   5                   6                   9                   8                   2                    

Vardas240            Pavarde240          5                   9                   9                   7                   4                   10                  4                    

Vardas241            Pavarde241          5                   9                   7                   8                   1                   10                  3                    

Vardas242            Pavarde242          5                   9                   3                   2                   4                   7                   9                    

Vardas243            Pavarde243          7                   7                   2                   6                   8                   9                   2                    
