Vardas               Pavarde             ND1                 ND2                 ND3                 ND4                 ND5                 ND6                 Egzaminas            
Vardas72             Pavarde72           3                   8                   7                   7                   8                   5                   2                    

Vardas73             Pavarde73           3                   9                   10                  2                   1                   6                   2                    

Vardas74             Pavarde74           5                   1                   5                   9                   9                   6                   4                    

Vardas75             Pavarde75           8                   4                   9                   1                   1                   3                   9                    

Vardas76             Pavarde76           5                   4                   5                   6                   5                   5                   7                    

Vardas77             Pavarde77           9                   8                   8                   1                   7                   2                   6                    

Vardas78             Pavarde78           6                   3                   7                   2                   5                   2                   6                    

Vardas79             Pavarde79           5                   7                   9                   8                   3                   7                   5                    

Vardas80             Pavarde80           5                   8                   6                   8                   3                   3                   9                    

Vardas81             Pavarde81           5                   5                   6                   6                   2                   5                   7                    

Vardas82             Pavarde82           4                   8                   8                   2                   5                   8                   3                    

Vardas83             Pavarde83           2                   3                   10                  7                   1                   4                   10                   

Vardas84             Pavarde84           7                   6                   8                   3                   9                   3                   4                    

Vardas85             Pavarde85           10                  3                   4                   5                   9                   8                   1                    

Vardas86             Pavarde86           8                   1                   6                   4                   8                   10                  2                    

Vardas87             Pavarde87           10                  1                   6                   9                   9                   3                   4                    

Vardas88             Pavarde88           6                   6                   1                   3                   10                  9                   8                    

Vardas89             Pavarde89           9                   8                   4                   3                   3                   3                   4                    

Vardas90             Pavarde90           6                   5                   8                   6                   10                  2                   4                    

Vardas91             Pavarde91           3                   5                   4                   4                   5                   9                   8                    

Vardas92             Pavarde92           6                   2                   4                   10                  10                  1                   5                    

Vardas93             Pavarde93           7                   4                   3                   10                  10                  4                   10                   

Vardas94             Pavarde94           3                   2                   1                   5                   7                   8                   5                    

Vardas95             Pavarde95           7                   9                   3                   10                  2                   1                   3                    

Vardas96             Pavarde96           2                   8                   9                   6                   10                  1                   4                    

Vardas97             Pavarde97           6                   10                  4                   4                   2                   9                   9                    

Vardas98             Pavarde98           2                   6                   7                   1                   9                   4                   10                   

Vardas99             Pavarde99           3                   4                   9                   8                   1                   3                   9                    

Vardas100            Pavarde100          4                   2                   1                   8                   1                   2                   5                    

Vardas101            Pavarde101          6                   4                   5                   10                  3                   7                   7                    

Vardas102            Pavarde102          3                   7                   2                   5                   9                   6                   6                    

Vardas103            Pavarde103          3                   7                   10                  4                   7                   4                   10                   

Vardas104            Pavarde104          5                   1                   8                   10                  9                   5                   3                    

Vardas105            Pavarde105          9                   4                   6                   2                   8                   5                   6                    

Vardas106            Pavarde106          3                   3                   1                   6                   8                   3                   1                    

Vardas107            Pavarde107          7                   7                   3                   2                   7                   3                   2                    

Vardas108            Pavarde108          5                   2                   5                   4                   9                   5                   2                    

Vardas109            Pavarde109          3                   7                   1                   5                   2                   5                   4                    

Vardas110            Pavarde110          4                   7                   4                   2                   2                   1                   1                    

Vardas111            Pavarde111          5                   9                   8                   9                   1                   10                  9                    

Vardas112            Pavarde112          5                   6                   8                   2                   2                   1                   4                    

Vardas113            Pavarde113          2                   1                   9                   9                   10                  5                   10                   

Vardas114            Pavarde114          6                   1                   2                   7                   8                   7                   3                    

Vardas115            Pavarde115          10                  10                  1                   6                   3                   1                   1                    

Vardas116            Pavarde116          3                   8                   5                   9                   6                   3                   9                    

Vardas117            Pavarde117          2                   4                   4                   10                  5                   10                  2                    

Vardas118            Pavarde118          7                   5                   4                   2                   7                   1                   9                    

Vardas119            Pavarde119          8                   7                   3                   3                   3                   7                   5                    

Vardas120            Pavarde120          6                   7                   6                   10                  1                   4                   10                   

Vardas121            Pavarde121          4                   4                   10                  4                   2                   2                   4                    

Vardas122            Pavarde122          8                   9                   7                   4                   8                   1                   3                    

Vardas123            Pavarde123          5                   7                   4                   7                   1                   2                   6                    

Vardas124            Pavarde124          1                   3                   6                   4                   7                   4                   7                    

Vardas125            Pavarde125          7                   8                   1                   4                   7                   3                   4                    

Vardas126            Pavarde126          2                   4                   8                   5                   10                  5                   1                    

Vardas127            Pavarde127          9                   7                   9                   5                   6                   3                   1                    

Vardas128            Pavarde128          1                   2                   4                   1                   2                   4                   3                    

Vardas129            Pavarde129          2                   5                   1                   5                   8                   8                   2                    

Vardas130            Pavarde130          1                   7                   10                  2                   8                   10                  3                    

Vardas131            Pavarde131          4                   7                   2                   1                   7                   6                   3                    

Vardas132            Pavarde132          6                   8                   9                   1                   2                   6                   7                    

Vardas133            Pavarde133          7                   8                   4                   5                   10                  2                   1                    

Vardas134            Pavarde134          10                  7                   1                   3                   8                   9                   8                    

Vardas135            Pavarde135          1                   9                   4                   9                   3                   8                   7                    

Vardas136            Pavarde136          6                   2                   10                  5                   9                   10                  6                    

Vardas137            Pavarde137          8                   3                   4                   7                   3                   6                   5                    

Vardas138            Pavarde138          10                  6                   7                   9                   9                   3                   4                    

Vardas139            Pavarde139          10                  2                   9                   10                  7                   6                   6                    

Vardas140            Pavarde140          9                   5                   3                   9                   8                   10                  1                    

Vardas141            Pavarde141          6                   5                   1                   1                   2                   5                   3                    

Vardas142            Pavarde142          5                   7                   7                   6                   4                   4                   2                    

Vardas143            Pavarde143          4                   8                   1                   5                   6                   3                   6                    

Vardas144            Pavarde144          10                  2                   5                   2                   5                   1                   10                   

Vardas145            Pavarde145          8                   2                   8                   5                   7                   4                   4                    

Vardas146            Pavarde146          2                   6                   8                   7                   8                   2                   5                    

Vardas147            Pavarde147          6                   3                   5                   4                   2                   5                   6                    

Vardas148            Pavarde148          8                   2                   5                   2                   7                   5                   6                    

Vardas149            Pavarde149          4                   6                   9                   8                   5                   4                   8                    

Vardas150            Pavarde150          5                   10                  1                   7                   10                  8                   2                    

Vardas151            Pavarde151          2                   4                   8                   8                   2                   1                   5                    

Vardas152            Pavarde152          9                   1                   9                   3                   6                   5                   10                   

Vardas153            Pavarde153          10                  3                   3                   10                  9                   9                   9                    

Vardas154            Pavarde154          1                   9                   10                  3                   9                   8                   1                    

Vardas155            Pavarde155          4                   5                   7                   3                   7                   4                   7                    

Vardas156            Pavarde156          9                   7                   5                   6                   5                   1                   5                    

Vardas157            Pavarde157          6                   1                   6                   9                   10                  8                   5                    

Vardas158            Pavarde158          7                   8                   8                   2                   10                  4                   2                    

Vardas159            Pavarde159          5                   9                   5                   3                   4                   5                   6                    

Vardas160            Pavarde160          7                   2                   1                   9                   1                   4                   2                    

Vardas161            Pavarde161          6                   9                   5                   5                   8                   5                   5                    

Vardas162            Pavarde162          8                   4                   5                   10                  1                   6                   7                    

Vardas163            Pavarde163          7                   10                  2                   8                   1                   6                   4                    

Vardas164            Pavarde164          9                   10                  3                   1                   7                   9                   10                   

Vardas165            Pavarde165          9                   6                   10                  9                   4                   4                   1                    

Vardas166            Pavarde166          9                   3                   7                   3                   9                   7                   8                    

Vardas167            Pavarde167          5                   1                   4                   3                   9                   9                   10                   

Vardas168            Pavarde168          3                   9                   2                   10                  8                   8                   8                    

Vardas169            Pavarde169          10                  2                   4                   1                   6                   6                   10                   

Vardas170            Pavarde170          9                   5                   1                   7                   2                   6                   9                    

Vardas171            Pavarde171          8                   5                   6                   2                   10                  7                   4                    

Vardas172            Pavarde172          10                  10                  9                   9                   10                  10                  7                    

Vardas173            Pavarde173          7                   9                   9                   7                   7                   4                   10                   

Vardas174            Pavarde174          1                   3                   2                   4                   1                   9                   6                    

Vardas175            Pavarde175          7                   3                   6                   7                   4                   2                   6                    

Vardas176            Pavarde176          4                   7                   9                   9                   2                   5                   1                    

Vardas177            Pavarde177          3                   6                   3                   6                   6                   3                   3                    

Vardas178            Pavarde178          6                   2                   1                   6                   3                   9                   7                    

Vardas179            Pavarde179          3                   4                   9                   9                   9                   8                   3                    

Vardas180            Pavarde180          8                   3                   2                   7                   9                   2                   3                    

Vardas181            Pavarde181          2                   1                   8                   5                   10                  10                  9                    

Vardas182            Pavarde182          8                   10                  8                   5                   6                   4                   1                    

Vardas183            Pavarde183          1                   6                   1                   1                   3                   9                   2                    

Vardas184            Pavarde184          4                   10                  10                  3                   8                   8                   5                    

Vardas185            Pavarde185          3                   1                   10                  8                   1                   1                   5                    

Vardas186            Pavarde186          2                   4                   1                   4                   10                  9                   5                    

Vardas187            Pavarde187          4                   2                   4                   3                   4                   3                   8                    

Vardas188            Pavarde188          8                   2                   6                   7                   4                   1                   9                    

Vardas189            Pavarde189          1                   8                   3                   2                   3                   4                   5                    

Vardas190            Pavarde190          10                  8                   8                   5                   4                   7                   9                    

Vardas191            Pavarde191          2                   10                  8                   4                   1                   8                   10                   

Vardas192            Pavarde192          9                   7                   10                  4                   6                   8                   6                    

Vardas193            Pavarde193          10                  4                   1                   8                   10                  6                   1                    

Vardas194            Pavarde194          6                   9                   2                   7                   5                   1                   5                    

Vardas195            Pavarde195          4                   7                   9                   1                   7                   9                   6                    

Vardas196            Pavarde196          2                   8                   4                   3                   4                   10                  2                    

Vardas197            Pavarde197          2                   3                   9                   8                   7                   10                  1                    

Vardas198            Pavarde198          4                   7                   7                   4                   1                   9                   7                    

Vardas199            Pavarde199          1                   7                   7                   6                   7                   6                   6                    

Vardas200            Pavarde200          10                  2                   3                   10                  9                   1                   8                    

Vardas201            Pavarde201          6                   8                   6                   7                   7                   9                   5                    

Vardas202            Pavarde202          7                   3                   10                  8                   2                   5                   10                   

Vardas203            Pavarde203          10                  2                   8                   6                   1                   10                  1                    

Vardas204            Pavarde204          2                   7                   7                   7                   4                   7                   2                    

Vardas205            Pavarde205          1                   6                   9                   8                   10                  3                   8                    

Vardas206            Pavarde206          10                  2                   7                   5                   10                  3                   5                    

Vardas207            Pavarde207          4                   7                   9                   6                   1                   7                   1                    

Vardas208            Pavarde208          1                   6                   4                   9                   1                   7                   5                    

Vardas209            Pavarde209          1                   9                   1                   3                   3                   3                   6                    

Vardas210            Pavarde210          8                   2                   10                  2                   3                   2                   10                   

Vardas211            Pavarde211          10                  1                   2                   2                   8                   6                   9                    

Vardas212            Pavarde212          1                   9                   1                   4                   1                   1                   1                    

Vardas213            Pavarde213          1                   5                   9                   9                   6                   4                   9                    

Vardas214            Pavarde214          4                   7                   2                   7                   10                  10                  7                    

Vardas215            Pavarde215          6                   9                   4                   9                   5                   1                   1                    

Vardas216            Pavarde216          5                   3                   8                   4                   1                   7                   1                    

Vardas217            Pavarde217          10                  10                  10                  3                   3                   6                   7                    

Vardas218            Pavarde218          8                   1                   4                   7                   9                   2                   6                    

Vardas219            Pavarde219          5                   10                  5                   8                   7                   2                   6                    

Vardas220            Pavarde220          1                   7                   5                   6                   10                  10                  7                    

Vardas221            Pavarde221          3                   2                   5                   5                   8                   8                   5                    

Vardas222            Pavarde222          8                   3                   5                   8                   5                   1                   8                    

Vardas223            Pavarde223          8                   1                   3                   7                   10                  5                   10                   

Vardas224            Pavarde224          3                   4                   7                   5                   5                   6                   10                   

Vardas225            Pavarde225          3                   5                   7                   3                   6                   10                  5                    

Vardas226            Pavarde226          10                  10                  3                   1                   4                   2                   8                    

Vardas227            Pavarde227          8                   1                   1                   3                   2                   8                   3                    

Vardas228            Pavarde228          7                   3                   10                  1                   5                   7                   10                   

Vardas229            Pavarde229          9                   9                   1                   4                   3                   5                   5                    

Vardas230            Pavarde230          8                   9                   6                   9                   1                   4                   8                    

Vardas231            Pavarde231          2                   1                   6                   7                   4                   3                   6                    

Vardas232            Pavarde232          4                   6                   2                   3                   9                   7                   7                    

Vardas233            Pavarde233          3                   7                   2                   1                   3                   6                   2                    

Vardas234            Pavarde234          1                   2                   8                   1                   7                   4                   1                    

Vardas235            Pavarde235          2                   6                   4                   1                   5                   5                   6                    

Vardas236            Pavarde236          3                   5                   5                   2                   5                   5                   5                    

Vardas237            Pavarde237          3                   9                   1                   5                   9                   8                   5                    

Vardas238            Pavarde238          2                   4                   9                   9                   8                   7                   1                    

Vardas239            Pavarde239          9                   8                   6                   7                   10                  5                   2                    

Vardas240            Pavarde240          1                   9                   2                   4                   2                   2                   1                    

Vardas241            Pavarde241          3                   8                   9                   9                   2                   7                   8                    

Vardas242            Pavarde242          4                   8                   7                   9                   6                   6                   1                    

Vardas243            Pavarde243          2                   6                   3                   7                   9                   6                   5                    
