Vardas               Pavarde              Galutinis (vid.)     Galutinis (med.)    
Vardas10261          Pavarde10261         5.00                 5.90                
Vardas10263          Pavarde10263         2.65                 4.00                
Vardas10264          Pavarde10264         4.75                 5.20                
Vardas10266          Pavarde10266         3.20                 4.10                
Vardas10268          Pavarde10268         2.85                 3.80                
Vardas10269          Pavarde10269         1.90                 1.90                
Vardas10273          Pavarde10273         3.95                 4.50                
Vardas10275          Pavarde10275         4.70                 5.00                
Vardas10278          Pavarde10278         2.10                 1.90                
Vardas10279          Pavarde10279         3.00                 4.00                
Vardas1028           Pavarde1028          4.55                 4.40                
Vardas10280          Pavarde10280         2.00                 2.20                
Vardas10281          Pavarde10281         3.85                 4.30                
Vardas10285          Pavarde10285         1.80                 2.20                
Vardas10288          Pavarde10288         3.90                 4.00                
Vardas10289          Pavarde10289         2.30                 3.70                
Vardas10292          Pavarde10292         2.40                 3.10                
Vardas10293          Pavarde10293         4.55                 5.80                
Vardas10295          Pavarde10295         3.20                 3.60                
Vardas10298          Pavarde10298         1.95                 2.20                
Vardas10299          Pavarde10299         2.25                 3.10                
Vardas103            Pavarde103           4.05                 4.80                
Vardas10304          Pavarde10304         4.15                 4.90                
Vardas10306          Pavarde10306         4.45                 4.90                
Vardas1031           Pavarde1031          2.30                 3.10                
Vardas10310          Pavarde10310         4.20                 5.50                
Vardas10315          Pavarde10315         3.00                 3.50                
Vardas10318          Pavarde10318         4.60                 6.10                
Vardas1032           Pavarde1032          2.65                 4.30                
Vardas10320          Pavarde10320         2.50                 3.40                
Vardas10322          Pavarde10322         4.85                 5.20                
Vardas10323          Pavarde10323         3.05                 3.50                
Vardas10324          Pavarde10324         2.80                 3.80                
Vardas10329          Pavarde10329         3.05                 3.80                
Vardas1033           Pavarde1033          4.55                 5.50                
Vardas10330          Pavarde10330         3.15                 4.10                
Vardas10331          Pavarde10331         2.05                 2.50                
Vardas10333          Pavarde10333         2.70                 3.20                
Vardas10334          Pavarde10334         2.15                 2.30                
Vardas10335          Pavarde10335         2.85                 3.50                
Vardas10336          Pavarde10336         3.85                 4.50                
Vardas10338          Pavarde10338         4.70                 4.70                
Vardas10343          Pavarde10343         4.80                 5.60                
Vardas10344          Pavarde10344         2.05                 2.80                
Vardas10347          Pavarde10347         2.35                 2.80                
Vardas10348          Pavarde10348         2.35                 3.10                
Vardas10350          Pavarde10350         2.15                 2.80                
Vardas10352          Pavarde10352         4.05                 4.90                
Vardas10357          Pavarde10357         3.35                 5.00                
Vardas10359          Pavarde10359         3.45                 4.70                
Vardas10360          Pavarde10360         4.40                 4.90                
Vardas10361          Pavarde10361         3.15                 4.60                
Vardas10362          Pavarde10362         2.00                 2.80                
Vardas10364          Pavarde10364         4.25                 4.90                
Vardas10365          Pavarde10365         3.70                 4.20                
Vardas10367          Pavarde10367         4.75                 4.10                
Vardas10368          Pavarde10368         3.75                 4.50                
Vardas1037           Pavarde1037          4.00                 4.90                
Vardas10373          Pavarde10373         2.70                 3.40                
Vardas10374          Pavarde10374         3.00                 3.20                
Vardas10376          Pavarde10376         4.15                 4.90                
Vardas10379          Pavarde10379         2.80                 3.50                
Vardas1038           Pavarde1038          3.55                 3.60                
Vardas10380          Pavarde10380         3.25                 3.30                
Vardas10383          Pavarde10383         4.00                 4.80                
Vardas10384          Pavarde10384         2.10                 2.80                
Vardas10385          Pavarde10385         3.95                 5.10                
Vardas10386          Pavarde10386         2.35                 3.40                
Vardas10389          Pavarde10389         4.30                 6.00                
Vardas10392          Pavarde10392         4.80                 6.40                
Vardas10393          Pavarde10393         3.25                 4.40                
Vardas10394          Pavarde10394         3.90                 5.10                
Vardas10397          Pavarde10397         3.65                 4.50                
Vardas104            Pavarde104           2.40                 2.80                
Vardas10400          Pavarde10400         4.25                 5.40                
Vardas10401          Pavarde10401         4.85                 5.60                
Vardas10402          Pavarde10402         3.90                 5.40                
Vardas10406          Pavarde10406         4.70                 5.50                
Vardas10407          Pavarde10407         2.25                 2.80                
Vardas10408          Pavarde10408         4.45                 5.50                
Vardas1041           Pavarde1041          3.15                 4.10                
Vardas10410          Pavarde10410         2.20                 3.10                
Vardas10411          Pavarde10411         5.00                 6.70                
Vardas10418          Pavarde10418         3.45                 3.60                
Vardas10424          Pavarde10424         4.05                 4.90                
Vardas10426          Pavarde10426         3.15                 4.10                
Vardas10427          Pavarde10427         4.65                 6.10                
Vardas10429          Pavarde10429         4.25                 5.10                
Vardas10430          Pavarde10430         3.85                 4.50                
Vardas10434          Pavarde10434         2.65                 3.10                
Vardas10439          Pavarde10439         3.05                 4.60                
Vardas10442          Pavarde10442         4.45                 5.50                
Vardas10447          Pavarde10447         3.05                 3.30                
Vardas10448          Pavarde10448         3.25                 4.20                
Vardas10454          Pavarde10454         3.45                 3.60                
Vardas10456          Pavarde10456         4.20                 4.60                
Vardas10458          Pavarde10458         2.05                 3.10                
Vardas10459          Pavarde10459         3.30                 4.70                
Vardas10461          Pavarde10461         2.70                 2.90                
Vardas10463          Pavarde10463         3.15                 3.60                
Vardas10465          Pavarde10465         3.10                 3.80                
Vardas10466          Pavarde10466         2.20                 3.10                
Vardas10467          Pavarde10467         3.95                 5.40                
Vardas10468          Pavarde10468         4.15                 4.60                
Vardas10471          Pavarde10471         5.00                 5.60                
Vardas10473          Pavarde10473         2.35                 3.10                
Vardas10474          Pavarde10474         4.45                 5.20                
Vardas10475          Pavarde10475         4.35                 5.20                
Vardas10476          Pavarde10476         3.00                 4.60                
Vardas10477          Pavarde10477         4.55                 5.00                
Vardas10479          Pavarde10479         5.00                 6.10                
Vardas10480          Pavarde10480         3.85                 4.60                
Vardas10484          Pavarde10484         4.55                 6.30                
Vardas10485          Pavarde10485         4.95                 5.30                
Vardas10487          Pavarde10487         3.65                 3.90                
Vardas10488          Pavarde10488         2.70                 4.00                
Vardas10492          Pavarde10492         3.85                 4.50                
Vardas10493          Pavarde10493         3.75                 3.70                
Vardas10495          Pavarde10495         3.70                 4.70                
Vardas10496          Pavarde10496         4.10                 6.00                
Vardas10498          Pavarde10498         2.50                 3.70                
Vardas105            Pavarde105           3.35                 3.60                
Vardas10500          Pavarde10500         2.80                 4.00                
Vardas10501          Pavarde10501         4.60                 5.50                
Vardas10502          Pavarde10502         4.90                 5.00                
Vardas10504          Pavarde10504         4.85                 4.70                
Vardas10506          Pavarde10506         2.95                 3.80                
Vardas1051           Pavarde1051          4.35                 4.90                
Vardas10512          Pavarde10512         3.30                 5.00                
Vardas10517          Pavarde10517         2.15                 2.50                
Vardas10518          Pavarde10518         2.55                 4.00                
Vardas10520          Pavarde10520         3.40                 4.40                
Vardas10522          Pavarde10522         3.90                 5.10                
Vardas10523          Pavarde10523         4.90                 5.00                
Vardas10524          Pavarde10524         4.40                 4.70                
Vardas10525          Pavarde10525         4.80                 5.30                
Vardas10532          Pavarde10532         3.60                 4.20                
Vardas10533          Pavarde10533         2.70                 4.60                
Vardas10534          Pavarde10534         3.50                 4.20                
Vardas10535          Pavarde10535         1.95                 2.80                
Vardas10539          Pavarde10539         3.15                 4.70                
Vardas1054           Pavarde1054          3.15                 3.80                
Vardas10543          Pavarde10543         3.70                 4.50                
Vardas10544          Pavarde10544         4.50                 6.10                
Vardas10546          Pavarde10546         4.55                 5.50                
Vardas10547          Pavarde10547         2.50                 2.60                
Vardas1055           Pavarde1055          2.75                 3.70                
Vardas10550          Pavarde10550         5.00                 5.10                
Vardas10554          Pavarde10554         4.00                 5.40                
Vardas10556          Pavarde10556         4.85                 5.60                
Vardas10559          Pavarde10559         4.50                 5.80                
Vardas1056           Pavarde1056          2.40                 3.10                
Vardas10560          Pavarde10560         3.20                 3.30                
Vardas10567          Pavarde10567         3.85                 5.10                
Vardas10568          Pavarde10568         4.55                 5.20                
Vardas10569          Pavarde10569         1.45                 1.90                
Vardas1057           Pavarde1057          2.65                 4.00                
Vardas10572          Pavarde10572         3.90                 4.80                
Vardas10573          Pavarde10573         2.15                 2.50                
Vardas10576          Pavarde10576         4.70                 5.00                
Vardas10578          Pavarde10578         4.65                 5.00                
Vardas10579          Pavarde10579         4.55                 5.20                
Vardas1058           Pavarde1058          4.35                 4.60                
Vardas10580          Pavarde10580         4.50                 4.70                
Vardas10582          Pavarde10582         4.40                 4.90                
Vardas10592          Pavarde10592         2.45                 3.10                
Vardas10595          Pavarde10595         4.15                 4.90                
Vardas106            Pavarde106           2.55                 3.40                
Vardas10601          Pavarde10601         5.00                 5.90                
Vardas10605          Pavarde10605         3.75                 4.50                
Vardas10608          Pavarde10608         3.15                 4.70                
Vardas10613          Pavarde10613         3.95                 4.60                
Vardas10616          Pavarde10616         4.85                 5.80                
Vardas10617          Pavarde10617         1.75                 1.90                
Vardas10618          Pavarde10618         2.55                 3.40                
Vardas1062           Pavarde1062          2.60                 4.00                
Vardas10620          Pavarde10620         4.90                 5.60                
Vardas10621          Pavarde10621         3.55                 4.70                
Vardas10623          Pavarde10623         3.20                 4.40                
Vardas10626          Pavarde10626         2.30                 2.60                
Vardas10627          Pavarde10627         4.40                 4.90                
Vardas1063           Pavarde1063          3.05                 4.10                
Vardas10632          Pavarde10632         3.30                 3.30                
Vardas10634          Pavarde10634         4.95                 6.10                
Vardas10637          Pavarde10637         3.50                 3.90                
Vardas10639          Pavarde10639         3.45                 4.50                
Vardas10645          Pavarde10645         2.70                 3.40                
Vardas10646          Pavarde10646         4.50                 5.70                
Vardas10648          Pavarde10648         3.25                 3.90                
Vardas10651          Pavarde10651         2.50                 3.20                
Vardas10652          Pavarde10652         4.05                 4.00                
Vardas10659          Pavarde10659         2.65                 4.00                
Vardas10660          Pavarde10660         2.35                 3.40                
Vardas10661          Pavarde10661         4.15                 5.40                
Vardas10662          Pavarde10662         4.30                 4.90                
Vardas10665          Pavarde10665         3.25                 4.70                
Vardas10666          Pavarde10666         2.45                 3.10                
Vardas10667          Pavarde10667         2.85                 3.80                
Vardas10671          Pavarde10671         4.05                 4.30                
Vardas10675          Pavarde10675         3.20                 4.40                
Vardas10678          Pavarde10678         2.90                 2.90                
Vardas10679          Pavarde10679         2.95                 4.40                
Vardas1068           Pavarde1068          4.25                 5.20                
Vardas10680          Pavarde10680         4.05                 4.90                
Vardas10683          Pavarde10683         2.25                 2.50                
Vardas10684          Pavarde10684         2.00                 2.50                
Vardas10689          Pavarde10689         4.20                 5.40                
Vardas1069           Pavarde1069          2.85                 3.50                
Vardas10693          Pavarde10693         2.85                 3.50                
Vardas10695          Pavarde10695         2.05                 2.20                
Vardas10697          Pavarde10697         3.15                 3.80                
Vardas10698          Pavarde10698         4.90                 5.30                
Vardas10700          Pavarde10700         3.05                 3.50                
Vardas10701          Pavarde10701         3.30                 3.60                
Vardas10707          Pavarde10707         1.90                 2.20                
Vardas10710          Pavarde10710         1.95                 2.50                
Vardas10711          Pavarde10711         2.40                 2.60                
Vardas10715          Pavarde10715         2.75                 2.90                
Vardas10718          Pavarde10718         4.00                 4.00                
Vardas10723          Pavarde10723         3.20                 4.10                
Vardas10724          Pavarde10724         2.45                 3.10                
Vardas10727          Pavarde10727         4.95                 5.90                
Vardas10728          Pavarde10728         3.30                 4.60                
Vardas10730          Pavarde10730         2.55                 3.70                
Vardas10731          Pavarde10731         4.20                 4.90                
Vardas10734          Pavarde10734         3.70                 4.20                
Vardas10736          Pavarde10736         4.80                 5.30                
Vardas10739          Pavarde10739         3.25                 3.50                
Vardas10744          Pavarde10744         4.85                 5.30                
Vardas10745          Pavarde10745         4.10                 4.80                
Vardas10747          Pavarde10747         3.40                 3.30                
Vardas10749          Pavarde10749         3.90                 5.10                
Vardas10750          Pavarde10750         4.40                 5.20                
Vardas10752          Pavarde10752         2.35                 3.40                
Vardas10756          Pavarde10756         4.75                 5.80                
Vardas10758          Pavarde10758         4.45                 5.50                
Vardas1076           Pavarde1076          1.80                 1.90                
Vardas10760          Pavarde10760         3.80                 4.20                
Vardas10761          Pavarde10761         2.35                 2.80                
Vardas10763          Pavarde10763         4.80                 4.70                
Vardas10764          Pavarde10764         2.30                 3.10                
Vardas10766          Pavarde10766         2.45                 2.60                
Vardas10768          Pavarde10768         2.60                 3.40                
Vardas1077           Pavarde1077          4.00                 5.70                
Vardas10775          Pavarde10775         3.55                 4.20                
Vardas10776          Pavarde10776         3.80                 4.50                
Vardas10778          Pavarde10778         4.55                 5.80                
Vardas10781          Pavarde10781         2.65                 2.90                
Vardas10784          Pavarde10784         2.45                 3.70                
Vardas10788          Pavarde10788         4.15                 4.00                
Vardas10790          Pavarde10790         3.80                 4.50                
Vardas10791          Pavarde10791         3.55                 4.50                
Vardas10794          Pavarde10794         2.90                 4.60                
Vardas10795          Pavarde10795         3.40                 4.70                
Vardas10796          Pavarde10796         3.15                 3.30                
Vardas10798          Pavarde10798         4.80                 5.30                
Vardas1080           Pavarde1080          4.50                 5.50                
Vardas10801          Pavarde10801         4.95                 5.30                
Vardas10803          Pavarde10803         3.40                 4.20                
Vardas10804          Pavarde10804         4.35                 4.90                
Vardas10806          Pavarde10806         3.30                 4.70                
Vardas10807          Pavarde10807         4.50                 5.50                
Vardas10808          Pavarde10808         3.15                 4.40                
Vardas10809          Pavarde10809         3.10                 4.10                
Vardas1081           Pavarde1081          2.05                 2.00                
Vardas10811          Pavarde10811         4.15                 5.20                
Vardas10812          Pavarde10812         4.45                 5.20                
Vardas10815          Pavarde10815         2.35                 2.60                
Vardas10818          Pavarde10818         3.85                 5.10                
Vardas10819          Pavarde10819         2.30                 2.50                
Vardas1082           Pavarde1082          4.65                 5.00                
Vardas10820          Pavarde10820         3.35                 4.70                
Vardas10821          Pavarde10821         3.30                 4.20                
Vardas10822          Pavarde10822         2.40                 3.70                
Vardas10823          Pavarde10823         4.45                 4.90                
Vardas10825          Pavarde10825         2.95                 3.50                
Vardas1083           Pavarde1083          3.15                 4.10                
Vardas10831          Pavarde10831         3.65                 4.20                
Vardas10834          Pavarde10834         3.30                 4.20                
Vardas1084           Pavarde1084          3.10                 4.10                
Vardas10840          Pavarde10840         4.45                 4.70                
Vardas10841          Pavarde10841         4.95                 6.70                
Vardas10843          Pavarde10843         4.35                 5.70                
Vardas10844          Pavarde10844         2.80                 4.00                
Vardas10845          Pavarde10845         4.30                 4.60                
Vardas10846          Pavarde10846         2.85                 3.50                
Vardas10852          Pavarde10852         3.15                 3.30                
Vardas10853          Pavarde10853         2.30                 2.80                
Vardas10856          Pavarde10856         4.55                 5.20                
Vardas10857          Pavarde10857         4.40                 4.30                
Vardas10859          Pavarde10859         4.40                 4.60                
Vardas10861          Pavarde10861         5.00                 5.90                
Vardas10863          Pavarde10863         3.50                 4.70                
Vardas10864          Pavarde10864         4.85                 5.30                
Vardas10865          Pavarde10865         4.55                 5.20                
Vardas10866          Pavarde10866         4.55                 4.70                
Vardas10867          Pavarde10867         4.75                 5.80                
Vardas10869          Pavarde10869         3.55                 5.00                
Vardas1087           Pavarde1087          4.25                 5.40                
Vardas10872          Pavarde10872         2.75                 3.70                
Vardas10873          Pavarde10873         5.00                 5.60                
Vardas10874          Pavarde10874         3.45                 4.20                
Vardas10877          Pavarde10877         4.00                 4.80                
Vardas1088           Pavarde1088          3.45                 3.60                
Vardas10880          Pavarde10880         4.00                 4.00                
Vardas10881          Pavarde10881         3.60                 4.20                
Vardas10883          Pavarde10883         3.90                 4.80                
Vardas10889          Pavarde10889         2.70                 3.80                
Vardas1089           Pavarde1089          4.55                 5.50                
Vardas10892          Pavarde10892         3.85                 4.80                
Vardas10894          Pavarde10894         3.15                 3.80                
Vardas10898          Pavarde10898         3.75                 4.80                
Vardas10899          Pavarde10899         3.95                 4.30                
Vardas10900          Pavarde10900         3.35                 3.90                
Vardas10903          Pavarde10903         4.05                 4.60                
Vardas10904          Pavarde10904         3.20                 4.40                
Vardas10905          Pavarde10905         2.75                 3.70                
Vardas10909          Pavarde10909         4.80                 6.70                
Vardas1091           Pavarde1091          4.90                 5.80                
Vardas10911          Pavarde10911         4.95                 6.10                
Vardas10912          Pavarde10912         5.00                 5.10                
Vardas10914          Pavarde10914         2.20                 2.80                
Vardas10915          Pavarde10915         4.05                 4.90                
Vardas1092           Pavarde1092          2.95                 3.80                
Vardas10920          Pavarde10920         4.10                 5.20                
Vardas10921          Pavarde10921         4.60                 5.50                
Vardas10923          Pavarde10923         2.80                 3.70                
Vardas10927          Pavarde10927         3.70                 5.30                
Vardas10928          Pavarde10928         3.85                 3.70                
Vardas10929          Pavarde10929         2.90                 4.30                
Vardas10930          Pavarde10930         4.95                 6.10                
Vardas10931          Pavarde10931         3.40                 5.00                
Vardas10934          Pavarde10934         3.65                 4.20                
Vardas10935          Pavarde10935         4.35                 5.20                
Vardas10936          Pavarde10936         3.45                 4.70                
Vardas10939          Pavarde10939         3.30                 4.10                
Vardas1094           Pavarde1094          3.65                 4.80                
Vardas10940          Pavarde10940         4.60                 6.00                
Vardas10941          Pavarde10941         2.15                 2.80                
Vardas10942          Pavarde10942         3.85                 5.10                
Vardas10943          Pavarde10943         4.10                 4.60                
Vardas10944          Pavarde10944         3.40                 3.60                
Vardas10948          Pavarde10948         3.75                 4.80                
Vardas1095           Pavarde1095          3.70                 4.70                
Vardas10950          Pavarde10950         2.85                 4.00                
Vardas10951          Pavarde10951         4.55                 5.80                
Vardas10953          Pavarde10953         3.35                 4.70                
Vardas10954          Pavarde10954         3.35                 4.70                
Vardas10956          Pavarde10956         3.60                 5.30                
Vardas10959          Pavarde10959         3.70                 4.80                
Vardas10960          Pavarde10960         4.75                 6.10                
Vardas10961          Pavarde10961         2.50                 3.10                
Vardas10962          Pavarde10962         2.45                 2.60                
Vardas10963          Pavarde10963         3.90                 5.10                
Vardas10966          Pavarde10966         2.05                 2.30                
Vardas10968          Pavarde10968         4.75                 5.60                
Vardas10970          Pavarde10970         3.40                 4.20                
Vardas10972          Pavarde10972         2.50                 3.70                
Vardas10974          Pavarde10974         2.75                 4.30                
Vardas10975          Pavarde10975         2.95                 3.00                
Vardas10977          Pavarde10977         3.95                 4.80                
Vardas10984          Pavarde10984         1.65                 2.20                
Vardas10985          Pavarde10985         3.75                 4.80                
Vardas10989          Pavarde10989         4.15                 5.10                
Vardas10992          Pavarde10992         4.90                 5.90                
Vardas10996          Pavarde10996         2.85                 2.60                
Vardas10997          Pavarde10997         2.85                 4.00                
Vardas10999          Pavarde10999         4.45                 5.00                
Vardas11             Pavarde11            3.50                 4.20                
Vardas110            Pavarde110           3.80                 4.80                
Vardas11000          Pavarde11000         2.70                 3.70                
Vardas11004          Pavarde11004         3.90                 5.10                
Vardas11005          Pavarde11005         4.05                 5.40                
Vardas1101           Pavarde1101          3.40                 5.30                
Vardas11014          Pavarde11014         4.75                 5.30                
Vardas11016          Pavarde11016         3.10                 3.80                
Vardas11018          Pavarde11018         4.15                 4.60                
Vardas11019          Pavarde11019         4.15                 5.70                
Vardas11020          Pavarde11020         2.80                 4.30                
Vardas11028          Pavarde11028         4.80                 5.60                
Vardas1103           Pavarde1103          3.15                 3.30                
Vardas11030          Pavarde11030         3.20                 4.10                
Vardas11031          Pavarde11031         3.40                 3.60                
Vardas11032          Pavarde11032         2.90                 4.10                
Vardas11035          Pavarde11035         4.45                 5.80                
Vardas11036          Pavarde11036         1.85                 2.20                
Vardas11037          Pavarde11037         4.40                 5.20                
Vardas11038          Pavarde11038         1.85                 1.90                
Vardas11039          Pavarde11039         3.90                 4.80                
Vardas11041          Pavarde11041         2.35                 2.30                
Vardas11042          Pavarde11042         3.80                 4.20                
